,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Manchester City_17_18,18,17,1,0,52,56,12,44,1,1
1,Liverpool_19_20,18,17,1,0,52,46,14,32,1,1
2,Liverpool_18_19,18,15,3,0,48,39,7,32,1,2
3,Chelsea_16_17,18,15,1,2,46,38,11,27,1,1
4,Manchester City_18_19,18,14,2,2,44,50,13,37,2,1
5,Tottenham_18_19,18,14,0,4,42,37,18,19,3,4
6,Manchester Utd_17_18,18,13,2,3,41,39,12,27,2,2
7,Liverpool_16_17,18,12,4,2,40,45,21,24,2,4
8,Leicester City_19_20,18,12,3,3,39,41,14,27,2,5
9,Manchester City_16_17,18,12,3,3,39,39,20,19,3,3
