,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Sheffield Utd_20_21,38,7,2,29,23,20,63,-43,20,20
1,Tottenham_18_19,38,23,2,13,71,67,39,28,4,4
2,Manchester City_18_19,38,32,2,4,98,95,23,72,1,1
3,Manchester City_19_20,38,26,3,9,81,102,35,67,2,2
4,Chelsea_16_17,38,30,3,5,93,85,33,52,1,1
5,Liverpool_19_20,38,32,3,3,99,85,33,52,1,1
6,Cardiff City_18_19,38,10,4,24,34,34,69,-35,18,18
7,Manchester City_17_18,38,32,4,2,100,106,27,79,1,1
8,Fulham_18_19,38,7,5,26,26,34,81,-47,19,19
9,Swansea City_16_17,38,12,5,21,41,45,70,-25,15,15
