Team,Chelsea_21_22,Liverpool_21_22,West Ham_21_22,Brighton_21_22,Tottenham_21_22,Manchester Utd_21_22,Brentford_21_22,Everton_21_22,Manchester City_21_22,Aston Villa_21_22,Watford_21_22,Leicester City_21_22,Southampton_21_22,Crystal Palace_21_22,Leeds United_21_22,Wolves_21_22,Burnley_21_22,Arsenal_21_22,Newcastle Utd_21_22,Norwich City_21_22
Manchester City_16_17,2.23606797749979,2.23606797749979,2.23606797749979,2.23606797749979,4.47213595499958,2.0,4.898979485566356,2.449489742783178,3.3166247903554,3.7416573867739413,4.69041575982343,5.385164807134504,6.708203932499369,7.874007874011811,7.681145747868608,8.48528137423857,8.06225774829855,8.717797887081348,8.246211251235321,10.392304845413264
Manchester Utd_16_17,1.0,1.0,3.605551275463989,1.0,3.1622776601683795,2.449489742783178,3.7416573867739413,2.8284271247461903,3.0,3.7416573867739413,4.69041575982343,5.196152422706632,6.557438524302,7.3484692283495345,8.06225774829855,7.874007874011811,7.810249675906654,8.366600265340756,8.366600265340756,10.488088481701515
Hull City_16_17,1.4142135623730951,1.4142135623730951,4.47213595499958,0.0,2.23606797749979,3.0,3.0,3.0,3.1622776601683795,3.605551275463989,4.358898943540674,4.69041575982343,6.164414002968976,6.708203932499369,7.874007874011811,7.280109889280518,7.3484692283495345,7.810249675906654,8.06225774829855,10.04987562112089
Chelsea_16_17,2.23606797749979,2.23606797749979,4.123105625617661,1.0,2.8284271247461903,2.8284271247461903,3.4641016151377544,2.449489742783178,3.3166247903554,3.1622776601683795,3.7416573867739413,4.123105625617661,5.744562646538029,6.48074069840786,7.14142842854285,7.211102550927978,7.0,7.483314773547883,7.483314773547883,9.38083151964686
Everton_16_17,3.4641016151377544,3.4641016151377544,5.477225575051661,2.449489742783178,3.0,3.0,2.23606797749979,2.23606797749979,2.449489742783178,1.7320508075688772,2.23606797749979,2.449489742783178,3.7416573867739413,4.358898943540674,5.830951894845301,5.0,4.898979485566356,5.385164807134504,5.744562646538029,7.810249675906654
Middlesbrough_16_17,3.4641016151377544,3.4641016151377544,5.477225575051661,2.449489742783178,3.0,3.0,2.23606797749979,2.23606797749979,2.449489742783178,1.7320508075688772,2.23606797749979,2.449489742783178,3.7416573867739413,4.358898943540674,5.830951894845301,5.0,4.898979485566356,5.385164807134504,5.744562646538029,7.810249675906654
Tottenham_16_17,3.7416573867739413,3.7416573867739413,6.6332495807108,2.8284271247461903,2.23606797749979,4.123105625617661,1.0,3.605551275463989,3.1622776601683795,3.0,3.3166247903554,3.1622776601683795,4.242640687119285,4.123105625617661,6.782329983125268,4.58257569495584,5.0990195135927845,5.385164807134504,6.4031242374328485,8.306623862918075
Burnley_16_17,4.358898943540674,4.358898943540674,7.0,3.605551275463989,3.1622776601683795,4.242640687119285,1.4142135623730951,3.7416573867739413,3.0,2.8284271247461903,3.1622776601683795,3.0,3.605551275463989,3.4641016151377544,6.4031242374328485,3.7416573867739413,4.358898943540674,4.69041575982343,5.830951894845301,7.874007874011811
West Brom_16_17,4.69041575982343,4.69041575982343,6.782329983125268,3.7416573867739413,3.605551275463989,4.123105625617661,2.23606797749979,3.3166247903554,3.1622776601683795,2.23606797749979,2.23606797749979,2.0,2.8284271247461903,3.0,5.477225575051661,3.605551275463989,3.7416573867739413,4.123105625617661,5.0,7.0
West Ham_16_17,4.69041575982343,4.69041575982343,6.782329983125268,3.7416573867739413,3.605551275463989,4.123105625617661,2.23606797749979,3.3166247903554,3.1622776601683795,2.23606797749979,2.23606797749979,2.0,2.8284271247461903,3.0,5.477225575051661,3.605551275463989,3.7416573867739413,4.123105625617661,5.0,7.0
Liverpool_16_17,5.916079783099616,5.916079783099616,5.385164807134504,5.0,6.164414002968976,3.7416573867739413,5.477225575051661,2.449489742783178,4.123105625617661,2.0,1.4142135623730951,2.23606797749979,3.0,4.898979485566356,3.0,5.830951894845301,4.358898943540674,5.0990195135927845,3.7416573867739413,5.830951894845301
Swansea City_16_17,5.385164807134504,5.385164807134504,7.681145747868608,4.358898943540674,3.7416573867739413,5.0990195135927845,2.449489742783178,4.242640687119285,4.123105625617661,3.1622776601683795,2.8284271247461903,2.23606797749979,3.0,2.449489742783178,5.744562646538029,3.1622776601683795,3.605551275463989,3.7416573867739413,5.0990195135927845,6.782329983125268
Arsenal_16_17,6.708203932499369,6.708203932499369,7.14142842854285,5.916079783099616,6.48074069840786,4.69041575982343,5.0990195135927845,3.7416573867739413,4.123105625617661,2.449489742783178,2.0,2.23606797749979,1.0,3.1622776601683795,3.0,3.7416573867739413,2.23606797749979,3.1622776601683795,2.449489742783178,5.0990195135927845
Leicester City_16_17,6.708203932499369,6.708203932499369,8.660254037844387,5.916079783099616,5.477225575051661,5.830951894845301,3.7416573867739413,5.0990195135927845,4.58257569495584,3.7416573867739413,3.4641016151377544,3.0,2.23606797749979,1.4142135623730951,5.385164807134504,1.4142135623730951,2.23606797749979,2.449489742783178,4.242640687119285,6.164414002968976
